mata@test.net	ひおき　まさむね	ひおき　まさむね	部長	2200	企画部	 	 	1190	1	1
siitaafe@test.net	さわだ　のりまさ	さわだ　のりまさ	地理空間情報政策調整官	2200	企画部	 	 	1210	1	1
tikiyise@test.net	しょうだ　まさみ	しょうだ　まさみ	防災企画官	2200	企画部	 	 	1220	1	1
mnikimefi@test.net	ひおき　しんじ	ひおき　しんじ	測量政策調整官	2200	企画部	 	 	1230	1	1
sendi@test.net	まつもと　しのぶ	まつもと　しのぶ	国際観測企画官	2200	企画部	 	 	1240	1	1
kime@test.net	かねだ　まみこ	かねだ　まみこ	地理空間情報国際標準分析官	2200	企画部	 	 	1250	1	1
sisijihi@test.net	さいとう　ただし	さいとう　ただし	課長	2210	企画部	企画調整課	 	1290	1	1
anakon@test.net	やまき　たかし	やまき　たかし	課長補佐	2210	企画部	企画調整課	 	1300	1	1
mshinahifi@test.net	すずき　ひろし	すずき　ひろし	課長補佐	2210	企画部	企画調整課	 	1310	1	1
nyashihitse@test.net	すぎた　かつみ	すぎた　かつみ	専門職	2210	企画部	企画調整課	 	1320	1	1
gisifi@test.net	しいな　のりかつ	しいな　のりかつ	調査専門職	2210	企画部	企画調整課	 	1330	1	1
yiyai@test.net	いざわ　さつき	いざわ　さつき	係長	2211	企画部	企画調整課	総務係	1340	1	1
smaga@test.net	もとじま　たかたけ	もとじま　たかたけ	主任	2211	企画部	企画調整課	総務係	1350	1	1
mama@test.net	もと　あきお	もと　あきお	係長	2212	企画部	企画調整課	管理係	1360	1	1
shidi@test.net	こしだ　かずまさ	こしだ　かずまさ	係長	2213	企画部	企画調整課	企画係	1370	1	1
witihiki@test.net	はせがわ　いなほ	はせがわ　いなほ	係員	2213	企画部	企画調整課	企画係	1380	1	1
iishikiwi@test.net	いくしま　のぶゆき	いくしま　のぶゆき	係員	2213	企画部	企画調整課	企画係	1390	1	1
hiyigiwi@test.net	すどう　かほ	すどう　かほ	係長	2214	企画部	企画調整課	企画調整係	1400	1	1
yemata@test.net	ゆもと　けいこ	ゆもと　けいこ	係長	2215	企画部	企画調整課	研究調整係	1410	1	1
shimana@test.net	はちじょう　まこと	はちじょう　まこと	係員	2215	企画部	企画調整課	研究調整係	1430	1	1
